         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
28   0.792673  3.049090  2.170951  1.436041  0.734136       0.692746      0.725111 -0.731411  0.830368 -1.122943  0.822214  0.364071 -1.432897 -0.986880  0.487179  0.122670 -1.617526 -0.958934 -0.337805         1.192766       -0.020794  1.067143 -0.888605  1.956993 -0.038195    0.626253  0.130718 -0.575646  0.057657  -0.073832 -1.711462  1.524314
29   0.515652  0.784702  0.474627  0.094673  0.034493       0.842460     -1.014658 -1.859442 -1.441979 -0.782657 -0.988736 -1.372465 -1.424003 -1.107943  1.032053 -0.031539  0.134990  0.691157  0.902348         0.001987        0.394113 -1.081480 -0.888605  0.271383 -1.825949   -1.515516 -0.773308 -0.299719  0.742289  -1.683277 -2.075427 -0.892353
30   0.372944 -0.048329 -0.205466  0.325065 -0.267481       0.692746     -1.612063 -0.731411  0.830368 -0.612514  0.822214  0.364071 -0.561305 -0.962667  0.477142  0.199774  2.521892  1.039673 -0.998810         0.001987        0.394113 -1.081480 -0.888605  0.060682 -1.825949   -1.515516  0.063397 -0.230557  0.313354  -1.683277 -1.226661  1.524314
31   0.910617 -1.352418  0.330009 -2.020944 -1.053250      -2.426306      0.486625  1.962811  0.830368  0.068057  2.008208  2.166479  1.679931  0.367063  0.504863 -0.361746 -1.534780  0.290759 -0.313247         0.224723       -0.102236  0.044436  1.607672 -0.571422  0.288140   -0.184146 -1.465753 -0.640485 -0.582341   0.730891  1.564222  1.524314
32   0.309985  0.308684  0.767770  0.652930  0.510846       0.842460     -1.014658 -1.859442 -1.441979 -0.952800 -0.988736 -1.372465 -0.810331 -0.753915  0.579903 -0.759001  1.709284  1.455861 -0.192506         1.192766       -0.020794  1.067143 -0.888605 -1.203525 -0.038195    0.626253  0.765460  0.651257  1.624367  -0.073832 -1.711462 -0.892353
33  -1.515416 -1.767281 -1.041903  0.330603 -0.285556      -0.205541     -1.454652  0.256781  0.830368  0.918771 -0.477409 -0.495127 -0.410111 -0.793833  0.631523  1.715040  2.159083  1.240436  1.685118        -0.597685        2.284891 -0.912593 -0.888605 -1.624928 -1.123617   -0.827642 -0.244356  0.076349  1.119782  -1.278102 -0.572980 -0.892353
34   1.057522  1.584675  1.619841  0.360510 -0.457809      -0.496653      2.254270 -0.908540 -0.990056  0.408343 -1.180483 -0.894177 -0.045465 -0.605367 -1.638787  0.307049 -0.142951  0.685518 -0.056417         1.192766       -0.020794  1.067143 -0.888605  1.324889 -0.038195    0.626253  0.169187 -0.349429  0.291416  -0.073832 -0.403372 -1.292314
35   0.662137 -1.240025 -0.232826  0.878892 -0.266417       0.842460     -1.014658 -1.859442 -1.441979 -1.293086 -0.988736 -1.372465 -2.766966 -1.654362  0.232904 -1.281969  0.729064 -1.578142  0.042836         0.627361       -1.741366 -0.734323  0.775580 -0.992824  0.876964    0.443914  0.909719  1.204552  0.615197   1.535613 -1.893444 -0.892353
36  -1.464209  0.069023 -1.063400  0.121257  0.773478       0.301824     -0.038040  0.042362  1.740580 -1.633371  0.232767 -0.257416 -0.952632 -0.837023  0.152129 -1.146198 -0.575776  0.400164  0.818444         0.524559       -0.604768  0.185176 -0.888605  0.692786  0.380366    0.006877 -0.677135 -0.314848  0.249808   0.325716 -1.469061  0.718758
37   0.262136 -0.831774 -1.307686  0.023784 -0.380189       0.210332      0.255948 -0.274606  0.372079  0.238200 -0.136524  0.244738  0.372543 -0.415593  0.567476  0.184688  1.456803  0.615589  0.762166         0.001987        0.394113 -1.081480 -0.888605  0.060682 -1.825949   -1.515516 -0.696369 -0.435161  0.036475  -1.683277  0.625921 -0.086797
38  -1.494430 -0.651615 -0.871879  0.422539  0.652263       0.592936     -0.520611  0.182200 -0.990056  0.068057  0.325090 -0.068392 -0.934845 -0.515715  0.232426  0.521600  0.404445  0.203912 -0.728678        -0.297849       -1.577443  0.260237  0.775580  1.746292 -0.421285   -0.424371  0.149953 -0.141223 -0.108016  -0.878554  0.290345  0.313164
39   0.509776  1.611121  1.098045  1.002949 -0.110114       0.210332      0.255948 -0.274606  0.372079 -0.612514 -0.136524  0.244738 -1.103827 -1.153096  0.530673 -0.179043  0.393837  0.450918  0.484871        -2.585172        0.444130  1.977259  0.775580  0.482084  2.061705    2.265383  2.179203  1.924267  1.372453   1.535613 -1.105096 -0.086797
40   0.571896 -0.061552 -1.206063 -0.127965 -0.590720      -0.205541     -1.454652  0.256781  0.830368  2.620200 -0.477409 -0.495127 -0.685818 -0.846185  0.170291 -1.230007 -1.176214  0.588520 -0.531195         0.224723       -0.102236  0.044436  1.607672  0.903487  0.288140   -0.184146  1.169386  2.165613  1.624367   0.730891 -0.305102 -0.892353
41   0.368747 -2.049916 -0.191786 -1.971100 -0.418467      -2.426306      0.486625  1.962811  0.830368  0.918771  2.008208  2.166479  1.377542  0.196920  0.206616 -0.232681 -0.944950  0.441895  1.443636         0.781562       -0.751877 -1.869622 -1.301742  0.271383 -0.932072   -1.310987 -0.398233 -0.985574 -1.779879  -0.878554  1.460128  1.524314
42  -1.310588  0.399590 -0.996954  0.544380  0.584213      -0.496653      2.254270 -0.908540 -0.990056  1.939628 -1.180483 -0.894177 -0.570199 -0.492157  0.477142  0.105908  1.363449  0.687774  0.393804         0.001987        0.394113 -1.081480 -0.888605  0.060682 -1.825949   -1.515516 -0.936802 -1.001423 -0.771466  -1.683277  0.013732 -1.292314
43   0.764132  0.257446  0.605564  0.765911 -0.012292       0.592936     -0.520611  0.182200 -0.990056  0.068057  0.325090 -0.068392  0.354756 -0.032772  0.487179  0.122670 -1.617526 -0.958934 -0.337805         1.192766       -0.020794  1.067143 -0.888605  1.956993 -0.038195    0.626253  0.130718 -0.575646  0.057657  -0.073832  0.690706  0.313164
44   0.285641  0.662391  1.692150  0.951997  0.128062       0.210332      0.255948 -0.274606  0.372079 -1.122943 -0.136524  0.244738 -0.721393  0.326491  0.890577  0.531657  1.694433 -0.498759 -1.463356         0.627361       -1.741366 -0.734323  0.775580 -0.571422  0.876964    0.443914  0.121101 -0.123212 -0.960590   1.535613  0.290345 -0.086797
45   0.910197  0.444217  0.900662  1.025102 -0.163278       0.085570      0.438594 -1.076346 -0.990056 -0.442371 -1.883558 -1.574854 -0.285598 -0.127005  0.201837 -0.955114 -0.272374 -1.456330 -1.173782        -2.585172        0.444130  1.977259  0.775580  1.535591  2.061705    2.265383  1.505992  2.863716  1.743137   1.535613 -0.134038 -1.697908
46   0.390993  0.644210  1.492812  0.609732  0.425783       1.241699      0.040167  1.058522 -0.990056 -1.122943 -0.093914  0.544503 -1.290596 -1.420743  0.504863 -0.034891 -0.499395  0.083229 -0.510730        -0.297849       -1.577443  0.260237  0.775580  2.167694 -0.421285   -0.424371  1.265559 -0.012985  1.237039  -0.878554 -1.763145 -0.086797
47   0.416176 -0.901194  0.345644  0.551026  0.704364       0.592936     -0.520611  0.182200 -0.990056 -0.102086  0.325090 -0.068392  1.493161  0.543095  0.549314 -0.200833 -0.486665 -0.894645  1.718885         0.781562       -0.751877 -1.869622 -1.301742  0.060682 -0.932072   -1.310987 -0.177035 -0.567721 -1.212504  -0.878554  1.236654  0.313164
