         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
50   0.471997 -1.439335 -0.796581 -1.691272 -2.139868      -2.433951      0.617977  1.955009  0.802792  1.240773  1.981226  2.151677  1.272623  1.148501  0.618705 -0.883120 -1.215722 -1.803797  1.134431         0.517112       -0.539781  0.230785 -0.851929  1.263384  0.426995    0.040944 -0.689933 -0.662811 -0.570892   0.371468  1.708086  1.479415
51   0.455988 -0.068051 -0.193021  0.120777  0.421988       0.679221     -1.199086 -0.676724  0.802792 -0.035884  0.824313  0.385228 -0.025081  0.831690  0.161155  0.046838 -0.344938 -1.216682 -0.187784         0.212527       -0.000071  0.091803  1.683445 -0.839099  0.335084   -0.150109 -1.868312 -0.898666 -1.297176   0.772015  0.848783  1.479415
52  -1.741060 -1.238846 -1.716825 -1.512083 -2.588143       1.227139      0.137739  1.071694 -0.975477  0.134337 -0.069351  0.562060 -0.575905 -0.636060  0.599621  0.570304 -0.038377 -0.564331 -0.588144        -0.013736        1.762355 -1.020052 -0.851929  0.095338 -1.771801   -1.481691 -0.518715 -0.437332 -0.159240  -1.614577 -0.477815 -0.082167
53  -1.098587 -0.273132 -0.425876  0.466836 -0.213984      -0.217372     -1.470182  0.288548  0.802792  1.325883 -0.443443 -0.456830 -0.071761 -0.460287  0.133483 -0.475167 -0.504801  0.018206 -0.269909         0.116801        0.328725 -0.223223  0.412803 -0.138271 -0.032561    0.357436 -1.384874 -0.694627 -0.665191  -0.023516 -0.057249 -0.862958
54   0.552886  1.252728  0.259650  0.147655 -0.766091       0.679221     -1.199086 -0.676724  0.802792 -1.142320  0.824313  0.385228  0.357695  0.562770  0.191690 -1.058583 -1.208199  0.406183  0.779240        -0.318321       -1.584414  0.304909  0.838320  0.562556 -0.371925   -0.390373 -0.327355 -0.847483 -0.972569  -0.819046  0.895512  1.479415
55  -1.580968 -0.839399 -0.388619 -1.752869 -1.957164      -0.507935      2.519367 -0.849745 -0.975477  0.049226 -1.129278 -0.847919 -1.080049 -0.711842  0.571948 -0.445923  0.317083  0.377571 -0.459823         0.517112       -0.539781  0.230785 -0.851929 -0.722294  0.426995    0.040944  0.357515  0.999236  0.936987   0.371468 -0.811844 -1.250623
56   0.691913 -0.436890  1.297252 -1.743909 -0.826992       0.828653     -0.617424 -1.778592 -1.416936 -1.312541 -0.942232 -1.316665  0.077615 -0.054538  0.686455  0.938778  0.085752 -0.518552 -0.086154         0.212527       -0.000071  0.091803  1.683445 -0.839099  0.335084   -0.150109 -1.626593 -0.099804 -0.850162   0.772015  0.030152 -0.862958
57   0.699496  0.313031  0.578196 -0.125608  0.169396       0.197717      0.369847 -0.230514  0.355116 -0.461437 -0.110917  0.268275  0.749807  0.731174 -2.224401 -1.345174 -0.882831 -0.650167 -1.812835         1.195902        0.087395  1.101739 -0.851929 -0.255076  0.009860    0.660419 -0.468357 -0.896591 -0.843815  -0.023516  0.967337 -0.082167
58   0.584483  0.098768  1.492851  1.126476  0.491875       0.073190      1.748690 -1.013659 -0.975477 -0.206105 -1.815113 -1.515016 -0.538561 -0.589222  0.143025  0.719448  0.683828  1.005888  0.007264         0.778185       -0.697773 -1.798351 -1.271536 -0.021467 -0.880970   -1.277129  0.035223 -0.440098 -1.425930  -0.819046 -0.149843 -1.643749
59   0.367095 -0.224157  0.280141  0.774817  0.892227      -2.433951      0.617977  1.955009  0.802792 -0.376326  1.981226  2.151677  1.954152  1.338483  0.711265  0.750155  1.571538 -1.261316 -1.254384        -0.622906        2.563653 -0.853274 -0.851929 -1.189513 -1.071863   -0.793707 -1.636665 -1.207836 -1.672559  -1.214030  1.364538  1.479415
60   0.543196  1.088970 -0.038405  0.513873 -0.253919       0.289037      0.053615  0.079102  1.691927  0.304557  0.249320 -0.223861 -0.351841  0.297006  0.401619  0.428471 -0.072231 -0.359470 -0.360246        -2.641869        0.586714  2.000489  0.838320  0.328947  2.102604    2.299808  1.183388  0.617442  0.590619   1.567546  0.456775  0.698624
61  -1.799620 -2.114264 -2.480590 -2.253478 -2.107920      -0.507935      2.418537 -0.849745 -0.975477 -0.035884 -1.129278 -0.847919 -0.258481 -0.385558  0.409253  0.413849 -0.463425 -0.036728  0.046273        -0.318321       -1.584414  0.304909  0.838320  2.197821 -0.371925   -0.390373  0.287014 -0.233985  0.414715  -0.819046 -0.811844 -1.250623
62   0.290841 -0.628196  0.680652  0.769218  0.951132       0.679221     -1.199086 -0.676724  0.802792  0.304557  0.824313  0.385228 -0.678601  0.140706 -1.918096  0.520590 -0.832051  0.133798  0.247480         0.778185       -1.294010 -1.798351 -1.271536 -0.605490 -0.880970   -1.277129 -0.548930  0.162333  0.457331  -0.819046  0.091593  1.479415
63   0.954800  0.597695  0.086406 -0.118888  0.533807       0.197717      0.369847 -0.230514  0.355116 -0.972100 -0.110917  0.268275 -0.445201  1.051669 -1.979643  0.096552 -1.132969  0.181866 -0.198049         0.517112       -0.539781  0.230785 -0.851929  0.796166  0.426995    0.040944 -1.163299 -0.887599 -1.250933   0.371468  1.111852 -0.082167
64   0.610182  0.088055 -0.789130 -0.401111 -0.306833      -0.217372     -1.470182  0.288548  0.802792  2.091877 -0.443443 -0.456830 -0.809305 -0.434501  0.094837 -2.399418 -1.292833 -2.840691 -1.520264        -0.013736        1.762355 -1.020052 -0.851929 -1.539927 -1.771801   -1.481691 -1.435232 -0.891749 -1.118552  -1.614577 -0.195707 -0.862958
65  -1.339988  0.231917 -1.014534  0.444437  0.686560       0.579600     -0.465469  0.215697 -0.975477  0.815220  0.339379 -0.038608 -0.762625 -0.645532  0.539027 -0.826094 -1.121685 -0.138587 -0.834519         0.212527       -0.000071  0.091803  1.683445 -0.255076  0.335084   -0.150109  0.750308  0.241182  0.816393   0.772015 -0.776364  0.305499
66   1.165026  0.155395 -1.301411 -0.835645  0.949135       1.227139      0.455968  1.071694 -0.975477 -0.801879 -0.069351  0.562060  0.357695 -0.407135  0.865372  0.840811 -0.476590 -0.836716 -0.405415        -0.622906        2.458818 -0.853274 -0.851929 -0.605490 -1.071863   -0.793707 -0.417999 -0.252660 -0.236311  -1.214030  0.414372 -0.082167
67   0.367095  0.948168  1.202248  0.445557  0.026627       0.828653     -1.190876 -1.778592 -1.416936 -1.227431 -0.942232 -1.316665 -1.154737 -0.999708  0.007525 -1.739967 -0.690995 -2.859003 -1.940129         0.116801        0.328725 -0.223223  0.412803  0.212142 -0.032561    0.357436  0.901382 -0.186953  0.745668  -0.023516 -2.133249 -0.862958
68  -1.723365 -1.699512 -1.452301 -1.084269 -2.396453       0.073190      1.748690 -1.013659 -0.975477 -1.567873 -1.815113 -1.515016 -0.025081  0.398049  0.538073  1.261923  0.785388  0.481719  0.879843         0.621541       -1.760463 -0.677230  0.838320 -1.072708  0.921900    0.478050 -0.830935 -0.294159 -0.702366   1.567546  0.534657 -1.643749
